index,name,website,address,city,state
0, Patton Block Grill and Brewpub,,88-90 Public Square,Monmouth,IL
1,(405) Brewing Co,www.405brewing.com,1716 Topeka St,Norman,OK
2,(512) Brewing Co,www.512brewing.com,407 Radam Ln Ste F200,Austin,TX
3,10 Torr Distilling and Brewing,www.10torr.com,490 Mill St,Reno,NV
4,10-56 Brewing Company,,2120 US-35,Knox,IN
5,101 Brewery,www.101brewery.com,294793 US Highway 101,Quilcene,WA
6,1035 Brewing,,1035 S Central Ave,Sidney,MT
7,105 West Brewing Co,www.105westbrewing.com,1043 Park St,Castle Rock,CO
8,10K Brewing,10KBrew.com,2005 2nd Ave,Anoka,MN
9,10th District Brewing Company,www.10thdistrictbrewing.com,491 Washington St,Abington,MA
10,11 Below Brewing Company,www.11belowbrewing.com,6820 Bourgeois Rd,Houston,TX
11,1188 Brewing Co,www.1188brewing.com,141 E Main St,John Day,OR
12,12 Bones Brewing,www.12bonesbrewing.com,2350 Hendersonville Rd,Arden,NC
13,12 Fox Beer Co,www.12foxbeer.com,4700 W Fitzhugh Rd,Dripping Springs,TX
14,12 Gates Brewing Company,www.12gatesbrewing.com,80 Earhart Dr Ste 20,Williamsville,NY
15,12 West Brewing Company,www.12westbrewing.com,3000 E Ray Rd Bldg 6,Gilbert,AZ
16,12 West Brewing Company - Production Facility,,7733 E McDowell Rd,Mesa,AZ
17,122 West Brewing,www.122westbrew.com,2416 Meridian St,Bellingham,WA
18,122 West Brewing Co.,www.122westbrew.com,2416 Meridian St,Bellingham,WA
19,127 Brewing,,3090 Shirley Dr,Jackson,MI
20,12Degree Brewing,www.12degree.com,820 Main St,Louisville,CO
21,13 Below Brewery,www.13belowbrewery.com,7391 Forbes Rd,Cincinnati,OH
22,13 Point Brewing,www.13pointbrewing.com,8035 Broadway,Lemon Grove,CA
23,13 Stripes Brewery,www.13StripesBrewery.com,"250 Mill St, Suite PW3101",Taylors,SC
24,13th Child Brewery,www.13thchildbrewery.com,345 S Main St,Williamstown,NJ
25,14 Cannons Brewing Company,14cannons.com,31125 Via Colinas Ste 907,Westlake Village,CA
26,14 Lakes Brewery,,36846 County Hwy 66,Crosslake,MN
27,1487 Brewery,www.1487brewery.com,7620 Industrial Parkway,Plain City,OH
28,14er Brewing Company,www.14erBrewing.com,3120 Blake St,Denver,CO
29,14th Star Brewing Co. ,www.14thstarbrewing.com,133 N Main St Ste 7,Saint Albans,VT
30,15-24 Brew House,,420 Lincoln Ave.,Clay Center,KS
31,16 Lots Brewing,www.16lots.com,753 Reading Rd,Mason,OH
32,16 Stone Brewpub,www.16stonebrewpub.com,9542 Main St,Holland Patent,NY
33,"1623 Brewing CO, llc",www.1623brewing.com,"5975 Exchange Dr,",Eldersburg,MD
34,1717 Brewing Co,www.1717brewing.com,322 E Court Ave,Des Moines,IA
35,1718 Ocracoke Brewing,www.ocracokebrewing.com,1129 Irvin Garrish Hwy,Ocracoke,NC
36,1766 Brewing Company,,7  Route 25,Plymouth,NH
37,1774 Brewing,,2609 N Moore Ave,Moore,OK
38,1781 Brewing Company,,11109 Plank Rd,Spotsylvania,VA
39,1787 Brewing Company,www.1787brewingcompany.com,43 S Fourth St,Hamburg,PA
40,180 and Tapped,www.180andtapped.com,2010 A State Ave,Coraopolis,PA
41,1803 Brewery and Taproom,,123 Harding Way East,Galion,OH
42,1812 Brewery,1812brewery.com,13006 Mason Road,Cumberland,MD
43,1817 Brewery,,100 B South Olive St,okolona,MS
44,1840 Brewing Company,www.1840brewing.com,342 E Ward St,Milwaukee,WI
45,1849 Brewing Company,www.1849brewingco.com,468 Sutton Way,Grass Valley,CA
46,1850 Brewing Company,www.1850brewingcompany.com,5176 G Highway 49N,Mariposa,CA
47,18th Street Brewery,www.18thstreetbrewery.com,5725 Miller Ave,Gary,IN
48,18th Street Brewery,,5417 Oakley Ave,Hammond,IN
49,18th Ward Brewing Co.,https://www.18thwardbrewing.com/,300 Richardson Street,Brooklyn,NY
50,1905 Brewing Company,1905BrewingCompany.com,121 North Chestnut,Assumption,IL
51,1912 Brewing,www.1912brewing.com,2045 N Forbes Blvd Ste 105,Tucson,AZ
52,192 Brewing,www.192brewing.com,7324 NE 175th St,Kenmore,WA
53,1940's Brewing Company,www.1940sbrewingcompany.com,1337 Lincoln Ave Unit 1,Holbrook,NY
54,1st Republic Brewing Co,www.1strepublic-homebrew.com,39 River Rd Ste 6,Essex Junction,VT
55,2 Basset Brewery,www.2bassetbrewery.com,202 E Main St,White Sulphur Springs,MT
56,2 Dogz and A Guy Brewing,2dogzandaguybrewing.com,228 Church St,Montrose,PA
57,2 Doors Down Brewing,https://www.facebook.com/2DoorsDownBrewery/,112 Warner Ct,Clinton,IL
58,2 Feet Brewing Company,www.2feetbrewing.com,80 Columbia St,Bangor,ME
59,2 Row Brewing,www.2rowbrewing.com,6856 S 300 W,Midvale,UT
60,2 Silos Brewing Company,www.2silosbrewing.com,9925 Discovery Blvd,Manassas,VA
61,2 Tones Brewing Co.,www.2tonesbrewingco.com,4539 E Broad St,Columbus,OH
62,2 Way Brewing Company,www.2waybrewingcompany.com,18 W Main St,Beacon,NY
63,2 Witches Winery and Brewing Company,www.2witcheswinebrew.com,209 Trade St,Danville,VA
64,20 Corners Brewing LLC,www.20cornersbrewing.com,14148 NE 190th St Ste A,Woodinville,WA
65,210 Brewing Co,,3438 Stoluckquamish Ln,Arlington,WA
66,21st Amendment Brewery,www.21st-Amendment.com,2010 Williams St Unit A,San Leandro,CA
67,21st Amendment Brewery Cafe,www.21st-amendment.com,563 2nd St,San Francisco,CA
68,22 Lakes Brewing Co.,www.22lakesbrewingco.com,107 W Fulton St,Waupaca,WI
69,22 Northmen Brewing Company,www.22northmen.com,6693 County Road 34 NW,Alexandria,MN
70,23rd Street Brewery,www.brew23.com,3512 Clinton Pkwy,Lawrence,KS
71,25 O'Clock Brewing Company,www.25oclock.net,208 W Griggs St,Urbana,IL
72,25 West Brewing Co,www.25westbrew.com,327 Stratford Square Mall,Bloomingdale,IL
73,256 North Restaurant,https://256north.com,256 Petaluma Blvd N,Petaluma,CA
74,26 Degree Brewing Company,,2600 E Atlantic Blvd,Pompano Beach,FL
75,27A Brewing Company,https://www.instagram.com/27abrewing/,173 North Wellwood Avenue,Lindenhurst,NY
76,2C Family Brewing Co.,,1215 1st St S,Nampa,ID
77,2SP Brewing Company,www.2spbrewing.com,120 Concord Rd,Aston,PA
78,2Toms Brewing Company,www.2tomsbrewing.com,3676 N Wells St,Fort Wayne,IN
79,2nd Bridge Brewing Co,www.2ndbridgebrewing.com,642 Hilliard Street ,Manchester ,CT
80,2nd Phase Brewing,www.2ndphasebrewing.com,1004 19th St,Bakersfield,CA
81,2nd Shift Brewing Co,www.2ndshiftbrewing.com,1601 Sublette Ave,Saint Louis,MO
82,2nd Story Brewing Company,www.2ndstorybrewing.com/,117 Chestnut St Frnt,Philadelphia,PA
83,2x4 Brew Pub,,20 Gala Drive,Asheville,NC
84,3 Bridges Brewing,,2107 Tamiami Trl S,Venice,FL
85,3 Car Garage Brewing Co,www.3cargaragebrewing.com,8405 Heritage Green Way ,Bradenton ,FL
86,3 Daughters Brewing,www.3dbrewing.com,222 22nd St S,Saint Petersburg,FL
87,3 Disciples Brewing,www.3dbrews.com,501 Mendocino Ave,Santa Rosa,CA
88,3 Freaks Brewing Co,www.3freaksbrewery.com,7140 E County Line Rd,Highlands Ranch,CO
89,3 Iron Brewing Company,www.3ironbrewingco.com,898 Via Lata Ste A,Colton,CA
90,"3 Keys Brewing Company, LLC",www.3keysbrewing.com,2505 Manatee Ave E,Bradenton,FL
91,3 Nations Brewing,www.threenationsbrewing.com,1033 E. Vandergriff Drive,Carrollton,TX
92,3 Sheeps Brewing Co,www.3sheepsbrewing.com,1837 North Ave,Sheboygan,WI
93,3 Sons Brewing Co.,www.3sonsbrewingco.com,236 N Federal Hwy,Dania Beach,FL
94,3 Stars Brewing Co,www.3starsbrewing.com,6400 Chillum Pl NW,Washington,DC
95,3 Trails Brewing,www.3trailsbrewing.com,111 N Main St,Independence,MO
96,30 Mile Brewing Co.,www.30milebrewingco.com,39 Ragged Rock Rd Unit 5,Old Saybrook,CT
97,300 Suns Brewing Company,www.300sunsbrewing.com,335 1st Ave Unit C,Longmont,CO
98,32 North Brewing Co,,8655 Production Ave Ste A,San Diego,CA
99,34 Degree North Experiment Station,,4802 Main St,Shallotte,NC
100,350 Brewing Co,www.350brewing.com,7144 183rd St,Tinley Park,IL
101,38°-75° Brewing,,2000 Coastal Highway STE 105,Rehoboth Beach,DE
102,"3Halves Brewing Co, LLC",3Halvesbrewingco.com,110 E Kansas St Liberty MO,LIBERTY,MO
103,3cross Fermentation Cooperative,3cross.coop,4 Knowlton Ave,Worcester,MA
104,3rd Act Craft Brewery,www.3rdactbrew.com,4120 Radio Dr,Woodbury,MN
105,3rd Planet Brewing,www.3rdplanetbrewing.com,1400 E John Sims Pkwy,Niceville,FL
106,3rd Planet Brewing,www.3rdplanetbrewing.com,120 Partin Dr N,Niceville,FL
107,3rd Turn Brewing,www.3rdturnbrewing.com,10408 Watterson Trl,Louisville,KY
108,3rd Turn Oldham Gardens,,6300 Old Lagrange Rd,Crestwood,KY
109,3rd Wave Brewing Co,www.3rdwavebrewingco.com,501 N Bi State Blvd,Delmar,DE
110,4 By 4 Brewing Company,www.4by4brewingcompany.com,2811 E Galloway St Ste A,Springfield,MO
111,4 Hands Brewing Co,,1220 S 8th St,Saint Louis,MO
112,4 Noses Brewing Company,4nosesbrewing.com,8855 W 116th Cir Ste 3,Broomfield,CO
113,406 Brewing Company,www.406brewingcompany.com,111 E Oak St.,Bozeman,MT
114,411 Broadway Ales,,411 Broadway St,Fresno,CA
115,412 Brews,www.412brews.com,706 Island Ave,Mc Kees Rocks,PA
116,42 North Brewing Company,www.42northbrewing.com,25 Pine St,East Aurora,NY
117,4204 Main Street Brewing Co,,6435 W MAIN ST,Belleville,IL
118,4204 Main Street Brewing Co,www.mainstreetbrewingco.com,4204 W Main St,Belleville,IL
119,450 North Brewing Company @ Simmons Winery,www.450northbrewing.com,8111 E 450 N,Columbus,IN
120,47 Hills Brewing Co,47hillsbrewingcompany.com,137 S Linden Ave,South San Francisco,CA
121,49th State Brewing,www.49statebrewing.com,Mile 248.4 Parks Hwy,Healy,AK
122,49th State Brewing - Anchorage,www.49statebrewing.com/,717 W 3rd Ave,Anchorage,AK
123,49th State Brewing- The Rail,,721 Depot Drive,Anchorage,AK
124,4J Brewing Company,4jbrewingcompany.com,1348 Cedar Post Lane,Houston,TX
125,4kd Crick Brewery,Www.4kdcrickbrewery.com,211 Carpenter Rd,Defiance,OH
126,4th Tap Brewing Cooperative,www.4thtap.coop,10615 Metric Blvd,Austin,TX
127,5 Alarm Brewing Co,,211 W Main St,Lake Mills,IA
128,5 Arch Brewing,www.5archbrewing.com,206 N Morton Ave,Centerville,IN
129,5 Barrel Bullet Brewing Company,,1690 East High Ave.,New Philadelphia,OH
130,5 Lakes Brewing Co.,www.5lakesbrewing.com,1638 142nd Ave,Dorr,MI
131,"5 North Brewing Company
",,6501 N Cedar Rd Ste 1,Spokane,WA
132,5 Rabbit Cerveceria Inc,www.5rabbitbrewery.com,6398 W 74th St,Chicago,IL
133,5 Rights Brewing Co,www.5rightsbrewing.com,1514 3rd St,Marysville,WA
134,5 Stones Artisan Brewery,,11335 Farm To Market Road 1863,New Braunfels,TX
135,509 Bierwerks,,200 S Columbia St Ste 100,Wenatchee,WA
136,515 Brewing Co,www.515brewing.com,7700 University Ave,Clive,IA
